Known As,Full Name,Best Position,Nationality,Club Name
L. Messi,Lionel Messi,CAM,Argentina,Paris Saint-Germain
K. Benzema,Karim Benzema,CF,France,Real Madrid CF
R. Lewandowski,Robert Lewandowski,ST,Poland,FC Barcelona
K. De Bruyne,Kevin De Bruyne,CM,Belgium,Manchester City
K. Mbappé,Kylian Mbappé,ST,France,Paris Saint-Germain
M. Salah,Mohamed Salah,RW,Egypt,Liverpool
T. Courtois,Thibaut Courtois,GK,Belgium,Real Madrid CF
M. Neuer,Manuel Neuer,GK,Germany,FC Bayern München
Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,ST,Portugal,Manchester United
V. van Dijk,Virgil van Dijk,CB,Netherlands,Liverpool
H. Kane,Harry Kane,ST,England,Tottenham Hotspur
Neymar Jr,Neymar da Silva Santos Jr.,LW,Brazil,Paris Saint-Germain
H. Son,Heung Min Son,LW,Korea Republic,Tottenham Hotspur
Casemiro,Carlos Henrique Venancio Casimiro,CDM,Brazil,Manchester United
J. Oblak,Jan Oblak,GK,Slovenia,Atlético de Madrid
S. Mané,Sadio Mané,LM,Senegal,FC Bayern München
Ederson,Ederson Santana de Moraes,GK,Brazil,Manchester City
J. Kimmich,Joshua Kimmich,CDM,Germany,FC Bayern München
Alisson,Alisson Ramses Becker,GK,Brazil,Liverpool
N. Kanté,N'Golo Kanté,CDM,France,Chelsea
Rúben Dias,Rúben Santos Gato Alves Dias,CB,Portugal,Manchester City
E. Haaland,Erling Haaland,ST,Norway,Manchester City
G. Donnarumma,Gianluigi Donnarumma,GK,Italy,Paris Saint-Germain
Bernardo Silva,Bernardo Mota Carvalho e Silva,CAM,Portugal,Manchester City
João Cancelo,João Pedro Cavaco Cancelo,LB,Portugal,Manchester City
Marquinhos,Marcos Aoás Corrêa,CB,Brazil,Paris Saint-Germain
K. Navas,Keylor Navas,GK,Costa Rica,Paris Saint-Germain
M. ter Stegen,Marc-André ter Stegen,GK,Germany,FC Barcelona
T. Kroos,Toni Kroos,CM,Germany,Real Madrid CF
L. Modrić,Luka Modrić,CM,Croatia,Real Madrid CF
A. Rüdiger,Antonio Rüdiger,CB,Germany,Real Madrid CF
Rodri,Rodrigo Hernández Cascante,CDM,Spain,Manchester City
Fabinho,Fábio Henrique Tavares,CDM,Brazil,Liverpool
H. Lloris,Hugo Lloris,GK,France,Tottenham Hotspur
T. Müller,Thomas Müller,CAM,Germany,FC Bayern München
De Gea,David De Gea Quintana,GK,Spain,Manchester United
M. Verratti,Marco Verratti,CM,Italy,Paris Saint-Germain
M. Maignan,Mike Maignan,GK,France,AC Milan
T. Alexander-Arnold,Trent Alexander-Arnold,CM,England,Liverpool
A. Robertson,Andrew Robertson,LB,Scotland,Liverpool
K. Koulibaly,Kalidou Koulibaly,CB,Senegal,Chelsea
L. Goretzka,Leon Goretzka,CM,Germany,FC Bayern München
F. de Jong,Frenkie de Jong,CM,Netherlands,FC Barcelona
Thiago,Thiago Alcântara,CM,Spain,Liverpool
C. Immobile,Ciro Immobile,ST,Italy,Lazio
R. Lukaku,Romelu Lukaku,ST,Belgium,Inter
D. Alaba,David Alaba,CB,Austria,Real Madrid CF
R. Sterling,Raheem Sterling,LW,England,Chelsea
R. Mahrez,Riyad Mahrez,RW,Algeria,Manchester City
P. Dybala,Paulo Dybala,CAM,Argentina,Roma
Thiago Silva,Thiago Emiliano da Silva,CB,Brazil,Chelsea
W. Szczęsny,Wojciech Szczęsny,GK,Poland,Juventus
K. Trapp,Kevin Trapp,GK,Germany,Eintracht Frankfurt
Bruno Fernandes,Bruno Miguel Borges Fernandes,CAM,Portugal,Manchester United
Parejo,Daniel Parejo Muñoz,CM,Spain,Villarreal CF
A. Laporte,Aymeric Laporte,CB,Spain,Manchester City
K. Coman,Kingsley Coman,LM,France,FC Bayern München
M. Brozović,Marcelo Brozović,CDM,Croatia,Inter
N. Barella,Nicolò Barella,CM,Italy,Inter
L. Martínez,Lautaro Martínez,ST,Argentina,Inter
M. Škriniar,Milan Škriniar,CB,Slovakia,Inter
C. Nkunku,Christopher Nkunku,CAM,France,RB Leipzig
É. Mendy,Édouard Mendy,GK,Senegal,Chelsea
Vinícius Jr.,Vinícius José de Oliveira Júnior,LW,Brazil,Real Madrid CF
S. Milinković-Savić,Sergej Milinković-Savić,CM,Serbia,Lazio
N. Süle,Niklas Süle,CB,Germany,Borussia Dortmund
N. Fekir,Nabil Fekir,CAM,France,Real Betis Balompié
S. Gnabry,Serge Gnabry,RM,Germany,FC Bayern München
İ. Gündoğan,İlkay Gündoğan,CM,Germany,Manchester City
