Overall,Potential,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,Attacking Work Rate_High,Attacking Work Rate_Low,Attacking Work Rate_Medium,Defensive Work Rate_High,Defensive Work Rate_Low,Defensive Work Rate_Medium
91,,,169.0,67.0,,,0.0,,,,,,90.0,,,64.0,84.0,,70.0,,88.0,,,93.0,90.0,93.0,87.0,,,92.0,,86.0,68.0,70.0,,91.0,44.0,,,,,,,,24.0,6.0,,,,8.0,90.0,90.0,,,,,91.0,,,91.0,67.0,66.0,67.0,62.0,53.0,,,,,0.0,0.0,,0.0
91,,34.0,185.0,,,,,4.0,,,80.0,,,87.0,39.0,78.0,,,,,88.0,,,,76.0,,79.0,80.0,78.0,92.0,,87.0,,82.0,82.0,,,39.0,,,,,,24.0,,13.0,,,5.0,7.0,91.0,,,,89.0,,,,,89.0,,,67.0,,,,21.0,0.0,0.0,,0.0,,
91,,33.0,,,,458.0,,4.0,,,75.0,91.0,,,,83.0,,,,,,,,85.0,,,76.0,75.0,77.0,93.0,,91.0,,,87.0,,,,,81.0,,,35.0,,19.0,,,12.0,8.0,,,,,88.0,,85.0,,86.0,83.0,,67.0,,67.0,,,64.0,22.0,,0.0,0.0,0.0,0.0,
91,91.0,,,70.0,2303.0,,,,,,,,,87.0,64.0,77.0,,,55.0,,,,89.0,,,,76.0,,76.0,,78.0,,63.0,88.0,,,,66.0,,,83.0,89.0,68.0,,,,13.0,,10.0,13.0,86.0,,87.0,87.0,87.0,,,91.0,,,,,,78.0,72.0,,24.0,,0.0,0.0,,,0.0
91,,23.0,182.0,,,470.0,1.0,,,4.0,97.0,,,,36.0,,78.0,,72.0,,,93.0,,,,91.0,,97.0,,93.0,81.0,88.0,,,,,64.0,38.0,,,,,,34.0,32.0,13.0,5.0,,11.0,,92.0,,,90.0,,,,92.0,,92.0,,66.0,,66.0,,,,,0.0,0.0,0.0,,0.0
90,,30.0,175.0,,,471.0,0.0,3.0,4.0,,90.0,89.0,,,,,,93.0,59.0,,,90.0,,,,,,91.0,90.0,,,,,,75.0,,,,,,,,38.0,43.0,41.0,14.0,14.0,9.0,,14.0,89.0,,,88.0,88.0,,,,85.0,90.0,,71.0,,,61.0,70.0,,,0.0,0.0,,,1.0
90,,30.0,199.0,,1334.0,473.0,0.0,3.0,,,,,,90.0,,,14.0,14.0,13.0,33.0,12.0,13.0,19.0,20.0,,,42.0,52.0,,,45.0,56.0,,38.0,,17.0,23.0,,,44.0,27.0,,20.0,,16.0,,,,,,,,,31.0,31.0,29.0,,,,34.0,32.0,,,,,32.0,,0.0,,1.0,,0.0,
90,,,,,,,,,1.0,,87.0,88.0,,88.0,56.0,,15.0,13.0,,60.0,11.0,30.0,14.0,,68.0,46.0,,,51.0,,35.0,,77.0,,80.0,16.0,29.0,30.0,12.0,70.0,,70.0,17.0,10.0,11.0,,,,,,43.0,40.0,43.0,,43.0,40.0,,,,,39.0,,,38.0,37.0,,,0.0,0.0,,0.0,0.0,
90,,37.0,,,,,,4.0,5.0,,,,,,34.0,75.0,,,,,,,,,,,,,,94.0,67.0,,,,77.0,,,29.0,,76.0,90.0,,,32.0,24.0,7.0,11.0,15.0,14.0,,,,88.0,88.0,,86.0,,,,,65.0,62.0,,61.0,56.0,61.0,,,0.0,0.0,,,0.0
90,90.0,,,92.0,,461.0,,3.0,,,81.0,,,,,86.0,53.0,52.0,,,,,,,,76.0,68.0,91.0,61.0,89.0,53.0,81.0,,74.0,93.0,64.0,85.0,,47.0,65.0,62.0,90.0,92.0,,,,10.0,,11.0,11.0,,68.0,70.0,70.0,70.0,68.0,73.0,,,73.0,83.0,88.0,83.0,,90.0,,23.0,0.0,0.0,,,,0.0
