Overall,Potential,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,Attacking Work Rate_High,Attacking Work Rate_Low,Attacking Work Rate_Medium,Defensive Work Rate_High,Defensive Work Rate_Low,Defensive Work Rate_Medium
91,91.0,,169.0,,,452.0,0.0,,4.0,,81.0,,,94.0,,,,,70.0,,,,,,,93.0,,,91.0,92.0,95.0,86.0,68.0,70.0,,,44.0,40.0,93.0,94.0,,,,35.0,24.0,,11.0,15.0,14.0,8.0,90.0,90.0,,91.0,91.0,90.0,,91.0,88.0,91.0,,,,,,62.0,,,,0.0,,,0.0
91,91.0,,185.0,81.0,2147.0,,1.0,,,4.0,80.0,,,,,78.0,75.0,,90.0,89.0,88.0,87.0,82.0,73.0,76.0,,,80.0,78.0,92.0,72.0,,,82.0,,,,,,,,90.0,,,,,,,5.0,,91.0,,,89.0,89.0,87.0,,89.0,84.0,89.0,67.0,,67.0,63.0,,63.0,,,,1.0,0.0,,
91,,,185.0,81.0,2205.0,,,4.0,,5.0,,,79.0,86.0,44.0,83.0,,,91.0,,89.0,85.0,79.0,,,89.0,,75.0,,93.0,,91.0,,,87.0,84.0,,,,,,88.0,,42.0,,,6.0,12.0,,10.0,,,88.0,,88.0,85.0,88.0,86.0,,,67.0,,67.0,,,,,,0.0,,0.0,,1.0
91,91.0,31.0,181.0,,,483.0,,,4.0,,74.0,,93.0,87.0,64.0,,94.0,,55.0,,83.0,,,83.0,,,76.0,,76.0,91.0,78.0,92.0,63.0,,74.0,91.0,,66.0,,94.0,83.0,89.0,68.0,65.0,53.0,15.0,,,,13.0,,88.0,,87.0,87.0,,,91.0,91.0,,82.0,,82.0,78.0,,78.0,24.0,,,,,,0.0
91,,23.0,,,,,,,5.0,,97.0,,,92.0,36.0,76.0,,93.0,,85.0,83.0,93.0,,69.0,71.0,91.0,,97.0,,,,88.0,77.0,,76.0,82.0,64.0,,,83.0,80.0,88.0,26.0,,,13.0,5.0,7.0,,,,,,,90.0,90.0,92.0,,,,,66.0,,,,,21.0,1.0,0.0,0.0,0.0,,0.0
90,90.0,30.0,175.0,71.0,2226.0,471.0,0.0,3.0,,4.0,90.0,89.0,82.0,90.0,45.0,75.0,80.0,93.0,,,84.0,90.0,84.0,,77.0,88.0,,,,,91.0,,,87.0,75.0,,63.0,,,,86.0,92.0,38.0,,,,,9.0,,,,,88.0,88.0,88.0,88.0,,,,90.0,,,,70.0,61.0,70.0,25.0,,0.0,0.0,0.0,0.0,
90,91.0,30.0,,96.0,1334.0,473.0,0.0,3.0,,4.0,,,,90.0,,,14.0,14.0,13.0,33.0,12.0,,,20.0,,23.0,42.0,,,,45.0,56.0,68.0,,,17.0,,,13.0,44.0,27.0,66.0,,,16.0,,,,89.0,90.0,,,,,,,35.0,34.0,,34.0,32.0,34.0,,,32.0,32.0,90.0,,0.0,1.0,,,
90,90.0,36.0,,,,501.0,1.0,,,,87.0,,,88.0,56.0,91.0,15.0,,,60.0,,30.0,,11.0,68.0,,54.0,60.0,,87.0,35.0,,77.0,43.0,80.0,,,30.0,12.0,,,,,10.0,,,88.0,91.0,,88.0,,40.0,43.0,,,,50.0,,,47.0,39.0,,39.0,,37.0,,90.0,0.0,,,0.0,0.0,1.0
90,90.0,37.0,187.0,83.0,,,1.0,,5.0,,81.0,,,85.0,,,,,,,,85.0,,,75.0,88.0,79.0,83.0,,,67.0,,,,77.0,90.0,,29.0,95.0,,90.0,95.0,,,24.0,,,15.0,14.0,,,86.0,,,,86.0,,,,87.0,65.0,,,61.0,56.0,61.0,,1.0,0.0,0.0,,1.0,
90,,30.0,193.0,92.0,2117.0,,,3.0,,,81.0,60.0,,,,,53.0,,87.0,,,,,,,76.0,,91.0,,89.0,53.0,81.0,88.0,,,64.0,,90.0,47.0,65.0,,90.0,92.0,,86.0,,10.0,13.0,,,,,70.0,70.0,,68.0,,73.0,79.0,73.0,83.0,88.0,83.0,,90.0,85.0,23.0,,,,1.0,0.0,0.0
89,89.0,,188.0,89.0,2193.0,,,5.0,,,68.0,91.0,,82.0,,82.0,80.0,93.0,,84.0,87.0,,82.0,,85.0,,,69.0,,92.0,,92.0,79.0,83.0,,86.0,,,,,92.0,92.0,,36.0,,,10.0,11.0,14.0,,,,,86.0,86.0,,,,,,69.0,71.0,,66.0,,,,1.0,0.0,0.0,,0.0,0.0
89,,30.0,175.0,,2157.0,,,5.0,,,87.0,83.0,,,37.0,61.0,,,63.0,,86.0,,88.0,87.0,81.0,94.0,,86.0,93.0,,82.0,79.0,,79.0,52.0,,,,,89.0,,93.0,35.0,,29.0,,9.0,,,,,,,,88.0,88.0,,89.0,85.0,,,66.0,,64.0,,,23.0,,0.0,,,0.0,
89,,29.0,,78.0,,,,5.0,,,,,,,42.0,,,,68.0,,79.0,87.0,85.0,74.0,,84.0,,,85.0,,,88.0,60.0,88.0,,89.0,,39.0,,,73.0,,,34.0,33.0,11.0,13.0,13.0,,,,87.0,,87.0,,87.0,,89.0,83.0,89.0,,67.0,,67.0,57.0,,,,0.0,0.0,,0.0,1.0
89,,,185.0,84.0,,460.0,1.0,,,,,73.0,,,,90.0,,,79.0,84.0,62.0,67.0,,,,,,,61.0,87.0,66.0,,,90.0,,,,,,,,,,,,13.0,14.0,16.0,,,,,,75.0,75.0,,78.0,76.0,,,,89.0,,,89.0,84.0,,,0.0,1.0,,,
89,91.0,29.0,,,1402.0,,1.0,3.0,1.0,,86.0,,78.0,,,87.0,13.0,11.0,,43.0,13.0,,,14.0,40.0,,,,,,,59.0,77.0,,,12.0,34.0,21.0,11.0,,,68.0,,,,,90.0,,,89.0,,,,,34.0,32.0,,37.0,,,35.0,,35.0,35.0,36.0,,,0.0,0.0,,,,
89,89.0,,174.0,69.0,2188.0,,,4.0,,4.0,90.0,83.0,,,44.0,,,86.0,,,,,,,,,91.0,90.0,93.0,,,,87.0,85.0,,78.0,,35.0,90.0,,75.0,84.0,42.0,42.0,,10.0,,,7.0,,,86.0,87.0,,,,89.0,,82.0,89.0,71.0,,71.0,,,68.0,22.0,1.0,,0.0,,,
89,,28.0,188.0,86.0,1583.0,502.0,,3.0,,3.0,,,93.0,,64.0,88.0,,,14.0,,18.0,23.0,,,66.0,,64.0,,60.0,,48.0,70.0,,41.0,78.0,,38.0,,20.0,70.0,51.0,70.0,,,8.0,87.0,,,88.0,,,41.0,43.0,,43.0,41.0,,,,,,,,39.0,,,90.0,0.0,0.0,1.0,0.0,0.0,1.0
